FID,VolcanoNumber,VolcanoName,SO2_Kilotons,StartDate,EndDate,Emission_ID
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4985,311310,Makushin,10,19800501,19800501,215
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4984,311360,Shishaldin,63,19990419,19990419,216
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4983,312030,Pavlof,50,19831115,19831115,217
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4982,312030,Pavlof,70,19860419,19860419,218
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4981,312030,Pavlof,5,20130625,20130625,219
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4980,312030,Pavlof,10,20140603,20140603,220
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-497f,312030,Pavlof,46,20141115,20141115,221
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-497e,312030,Pavlof,20,20160327,20160327,222
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-497d,312070,Veniaminof,5,20130812,20130812,223
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-497c,312260,Fourpeaked,1,20060917,20060917,224
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-497b,313010,Augustine,20,19860327,19860327,225
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-497a,313010,Augustine,10,20060129,20060129,226
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4979,313030,Redoubt,140,19891215,19891215,227
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4978,313030,Redoubt,16,19900309,19900309,228
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4977,313030,Redoubt,159,20090323,20090404,229
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4976,313040,Spurr,250,19920627,19920627,230
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4975,313040,Spurr,300,19920818,19920818,231
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4974,313040,Spurr,250,19920917,19920917,232
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4973,321050,St. Helens,875,19800518,19800525,233
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4972,321050,St. Helens,35,19800613,19800613,234
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4971,332010,Kilauea,1,19830329,19830329,235
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4970,332010,Kilauea,5.5,19830703,19830703,236
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-496f,332010,Kilauea,11,19830721,19830721,237
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-496e,332010,Kilauea,12.6,19830906,19830915,238
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-496d,332010,Kilauea,11.6,19831005,19831005,239
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-496c,332010,Kilauea,31.8,19831105,19831105,240
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-496b,332010,Kilauea,14.5,19831129,19831129,241
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-496a,332010,Kilauea,51.8,19840130,19840214,242
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4969,332010,Kilauea,13.5,19840304,19840304,243
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4968,332010,Kilauea,29.8,19840418,19840418,244
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4967,332010,Kilauea,30.2,19840607,19840607,245
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4966,332010,Kilauea,80.8,19840630,19840708,246
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4965,332010,Kilauea,29.8,19840728,19840728,247
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4964,332010,Kilauea,45.9,19840819,19840819,248
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4963,332010,Kilauea,37.9,19840919,19840919,249
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4962,332010,Kilauea,15.2,19841102,19841102,250
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4961,332010,Kilauea,124.1,19841119,19841203,251
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4960,332010,Kilauea,47.9,19850103,19850103,252
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-495f,332010,Kilauea,48.5,19850204,19850204,253
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-495e,332010,Kilauea,72.7,19850421,19850421,254
